pos_-0.6000000000000003_head_24, [10]
pos_-0.4000000000000003_head_25, [12]
pos_-0.4000000000000003_head_26, [11]
pos_-0.4000000000000003_head_27, [10]
pos_-0.4000000000000003_head_29, [9]
pos_-0.4000000000000003_head_30, [9]
pos_-0.2000000000000003_head_25, [23, 38, 45]
pos_-0.2000000000000003_head_26, [13]
pos_-0.2000000000000003_head_27, [12]
pos_-0.2000000000000003_head_28, [12]
pos_-0.2000000000000003_head_29, [11]
pos_-0.2000000000000003_head_30, [11]
pos_-0.2000000000000003_head_31, [11]
pos_-0.2000000000000003_head_32, [10]
pos_-0.2000000000000003_head_33, [10]
pos_-0.2000000000000003_head_34, [10]
pos_-2.7755575615628914e-16_head_28, [14]
pos_-2.7755575615628914e-16_head_29, [13]
pos_-2.7755575615628914e-16_head_30, [13]
pos_-2.7755575615628914e-16_head_31, [12]
pos_-2.7755575615628914e-16_head_32, [12]
pos_-2.7755575615628914e-16_head_33, [12]
pos_-2.7755575615628914e-16_head_34, [12]
pos_-2.7755575615628914e-16_head_35, [11]
pos_-2.7755575615628914e-16_head_36, [11]
pos_0.19999999999999973_head_27, [17]
pos_0.19999999999999973_head_31, [13]
pos_0.19999999999999973_head_32, [14]
pos_0.19999999999999973_head_33, [13]
pos_0.19999999999999973_head_34, [13]
pos_0.19999999999999973_head_35, [13]
pos_0.19999999999999973_head_36, [13]
pos_0.39999999999999974_head_27, [18]
pos_0.39999999999999974_head_30, [13]
pos_0.39999999999999974_head_33, [13, 16]
pos_0.39999999999999974_head_34, [15]
pos_0.39999999999999974_head_35, [14]
pos_0.39999999999999974_head_36, [14]
pos_0.39999999999999974_head_37, [14]
pos_0.39999999999999974_head_38, [13]
pos_0.39999999999999974_head_39, [13]
pos_0.5999999999999998_head_36, [16]
pos_0.5999999999999998_head_37, [15]
pos_0.5999999999999998_head_38, [15]
pos_0.5999999999999998_head_39, [14]
pos_0.7999999999999998_head_38, [18]
pos_0.7999999999999998_head_39, [16]
pos_0.7999999999999998_head_40, [15]
pos_0.7999999999999998_head_41, [14]
pos_0.9999999999999998_head_40, [19]
pos_0.9999999999999998_head_41, [16]
pos_0.9999999999999998_head_42, [15]
pos_1.1999999999999997_head_43, [16]
pos_1.1999999999999997_head_44, [15]
pos_1.3999999999999997_head_44, [20]
pos_1.3999999999999997_head_45, [16]
